id	title	description	link	image_link	additional_image_link	price	sale_price	sale_price_effective_date	currency	availability	shipping_weight	expiration_date	brand	condition	product_type	google_product_category	payment_accepted
564	Madison Island VIP Membership - 1 Year	Membership is valid for ONE YEAR from the date of purchase. Members are allowed unlimited purchases with VIP pricing, however purchases are not for resale. Madison Island may, in its sole discretion, choose not to process or to cancel your order in certain circumstances. This may occur, for example, when the product you wish to purchase is out of stock, mispriced, or if we suspect the request is fraudulent.	http://127.0.0.1/magento/madison-island-vip-membership-1-year.html	http://127.0.0.1/magento/media/catalog/product/v/i/vip_membership.jpg	 	350.00	 	 	USD	in stock	 	2024-04-16	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
337	Aviator Sunglasses	Gunmetal frame with crystal gradient polycarbonate lenses in grey.	http://127.0.0.1/magento/aviator-sunglasses.html	http://127.0.0.1/magento/media/catalog/product/a/c/ace000a_1.jpg	http://127.0.0.1/magento/media/catalog/product/a/c/ace000b_1.jpg	295.00	 	 	USD	in stock	1.0000 kg	2024-04-16	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
338	Jackie O Round Sunglasses	Acetate frame. Polycarbonate lenses.	http://127.0.0.1/magento/jackie-o-round-sunglasses.html	http://127.0.0.1/magento/media/catalog/product/a/c/ace001_1.jpg	 	295.00	225.00	2013-03-05T00:00:00-08:00/2024-04-16T23:59:59-07:00	USD	in stock	1.0000 kg	2024-04-16	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
339	Retro Chic Eyeglasses	Acetate frame. Polycarbonate lenses.	http://127.0.0.1/magento/retro-chic-eyeglasses.html	http://127.0.0.1/magento/media/catalog/product/a/c/ace002a_1.jpg	http://127.0.0.1/magento/media/catalog/product/a/c/ace002b_1.jpg	295.00	 	 	USD	in stock	1.0000 kg	2024-04-16	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
406	Linen Blazer	Single vented, notched lapels. Flap pockets. Tonal stitching. Fully lined. Linen. Dry clean.	http://127.0.0.1/magento/linen-blazer-580.html	http://127.0.0.1/magento/media/catalog/product/m/s/msj012t_2.jpg	http://127.0.0.1/magento/media/catalog/product/m/s/msj012a_2.jpg,http://127.0.0.1/magento/media/catalog/product/m/s/msj012b.jpg	455.00	 	 	USD	in stock	 	2024-04-16	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
410	Chelsea Tee	Ultrasoft, lightweight V-neck tee. 100% cotton. Machine wash.	http://127.0.0.1/magento/chelsea-tee-703.html	http://127.0.0.1/magento/media/catalog/product/m/t/mtk004t.jpg	http://127.0.0.1/magento/media/catalog/product/m/t/mtk004a_2.jpg,http://127.0.0.1/magento/media/catalog/product/m/t/mtk000t_2.jpg,http://127.0.0.1/magento/media/catalog/product/m/t/mtk002t_2.jpg	75.00	 	 	USD	in stock	 	2024-04-16	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
418	Tori Tank	Ribbed scoop neck tank. 100% cotton.Machine wash.	http://127.0.0.1/magento/tori-tank-587.html	http://127.0.0.1/magento/media/catalog/product/w/b/wbk003t.jpg	http://127.0.0.1/magento/media/catalog/product/w/b/wbk003a.jpg,http://127.0.0.1/magento/media/catalog/product/w/b/wbk003b.jpg	60.00	 	 	USD	in stock	 	2024-04-16	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
421	Elizabeth Knit Top	Loose fitting from the shoulders, open weave knit top. Semi sheer. Slips on. Faux button closure detail on the back. Linen/Cotton. Machine wash.	http://127.0.0.1/magento/elizabeth-knit-top-593.html	http://127.0.0.1/magento/media/catalog/product/w/b/wbk012t.jpg	http://127.0.0.1/magento/media/catalog/product/w/b/wbk012.jpg,http://127.0.0.1/magento/media/catalog/product/w/b/wbk012b_4.jpg,http://127.0.0.1/magento/media/catalog/product/w/b/wbk012c-royal-blue.jpg,http://127.0.0.1/magento/media/catalog/product/w/b/wbk012c-pink.jpg,http://127.0.0.1/magento/media/catalog/product/w/b/wbk012c-red.jpg	210.00	 	 	USD	in stock	 	2024-04-16	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
423	Racer Back Maxi Dress	Racer back maxi dress. Pull over style. Loose fitting. Straight skirt falls to floor. Viscose.	http://127.0.0.1/magento/racer-back-maxi-dress-603.html	http://127.0.0.1/magento/media/catalog/product/w/s/wsd005t_2.jpg	http://127.0.0.1/magento/media/catalog/product/w/s/wsd005a.jpg,http://127.0.0.1/magento/media/catalog/product/w/s/wsd005b_2.jpg	280.00	224.00	2013-05-10T00:00:00-07:00/2024-04-16T23:59:59-07:00	USD	in stock	 	2024-04-16	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
425	Lafayette Convertible Dress	Two sash, convertible neckline with front ruffle detail. Unhemmed, visisble seams. Hidden side zipper. Unlined. Wool/elastane. Hand wash.	http://127.0.0.1/magento/lafayette-convertible-dress.html	http://127.0.0.1/magento/media/catalog/product/w/s/wsd013t.jpg	http://127.0.0.1/magento/media/catalog/product/w/s/wsd013a_2.jpg,http://127.0.0.1/magento/media/catalog/product/w/s/wsd013b_2.jpg	340.00	 	 	USD	in stock	 	2024-04-16	 	new	 	 	AmericanExpress,Cash,Check,Discover,MasterCard,Visa,WireTransfer
